dt,grp_A_1,grp_B_1,grp_A_2,grp_B_2,grp_A_3,grp_B_3,grp_A_4,grp_B_4,grp_A_5,grp_B_5,grp_A_6,grp_B_6,grp_A_7,grp_B_7,grp_A_8,grp_B_8,grp_A_9,grp_B_9,grp_A_10,grp_B_10,grp_A_11,grp_B_11,grp_A_12,grp_B_12,grp_A_13,grp_B_13,grp_A_14,grp_B_14,grp_A_15,grp_B_15,grp_A_16,grp_B_16,grp_A_17,grp_B_17,grp_A_18,grp_B_18,grp_A_19,grp_B_19,grp_A_20,grp_B_20,grp_A_21,grp_B_21,grp_A_22,grp_B_22,grp_A_23,grp_B_23,grp_A_24,grp_B_24,grp_A_25,grp_B_25,inventory_1,inventory_2,a1,a2,avg_price,Holiday_Christmas Day,Holiday_Columbus Day,Holiday_Independence Day,Holiday_Labor Day,Holiday_Martin Luther King Jr. Day,Holiday_Memorial Day,Holiday_New Year Day,Holiday_Presidents Day (Washingtons Birthday),Holiday_Thanksgiving Day,Holiday_Veterans Day,grp_C_1,grp_C_2,grp_C_3,grp_C_4,grp_C_5,grp_C_6,grp_C_7,grp_C_8,grp_C_9,grp_C_10,grp_C_11,grp_C_12,grp_C_13,grp_C_14,grp_C_15,grp_C_16,grp_C_17,grp_C_18,grp_C_19,grp_C_20,grp_C_21,grp_C_22,grp_C_23,grp_C_24,grp_C_25,grp_C_26,grp_C_27,grp_C_28,grp_C_29,grp_C_30,grp_C_31,grp_C_32,grp_C_33,grp_C_34,grp_C_35,grp_C_36,grp_C_37,grp_C_38,grp_C_39,grp_C_40,grp_C_41,grp_C_42,grp_C_43,grp_C_44,grp_C_45,grp_C_46,grp_C_47,grp_C_48,grp_C_49,grp_C_50,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,units_sold
11/7/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,11,1,192,0,0,0,0,0,0,17
12/7/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,12,2,193,0,0,0,0,0,0,23
13/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,13,3,194,0,0,0,0,0,0,19
14/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,14,4,195,0,0,0,0,0,0,15
15/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,9.5,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,15,5,196,0,0,0,0,0,0,18
16/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,14,0,47,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,28,16,6,197,0,0,0,0,0,0,25
17/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,14,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,29,17,0,198,0,0,0,0,0,0,34
18/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,64.28185483,0,0,0,0,0,0,0,0,0,0,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,29,18,1,199,0,0,0,0,0,0,34
19/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,128.5637097,0,0,0,0,0,0,0,0,0,0,10.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,29,19,2,200,0,0,0,0,0,0,52
20/07/2017,389.5,56.63,8392,52.125,8462,33.875,1177,15.375,170428,81.25,212112,18.125,86582,55.75,47186,26.875,114815.5,17.625,80363,48,24108.5,44.375,146125,41.875,80672.5,22,21663,17.875,31603.5,37.875,54927.5,25.375,371757,49.375,14790,29,22363,50.875,123508,49.625,-47796.5,38.875,298290,60.25,49039,26.75,122069.5,29,303608.5,60.625,6876.237365,0,0,0,128.5637097,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7,29,20,3,201,0,0,0,0,0,0,54
